Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.112244,-0.006031,0.873798,0.043207,0.072190,0.493494,-0.114506,-0.205721,0.275999,-0.116703,0.008273,0.895582,-0.095200,-0.003156,0.467497,-0.114041,-0.101390,0.077939,0.021983,-0.021703,1.119644,0.016046,-0.036685,1.398339,0.022151,0.034018,1.477397,-0.039081,-0.036281,1.513316,-0.104372,-0.058264,1.354484,-0.170373,-0.078406,1.077043,-0.245194,-0.091453,0.854553,0.149383,-0.038687,1.387681,0.184746,-0.001295,1.120235,0.165073,0.143161,0.954828
2,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.115672,0.000392,0.879648,0.026544,0.034293,0.483120,-0.035164,-0.097344,0.117283,-0.120090,0.005482,0.892100,-0.102653,-0.005334,0.464044,-0.122491,-0.100898,0.063969,0.023817,-0.022688,1.120894,0.015472,-0.033751,1.403099,0.017656,0.035003,1.484274,-0.032205,-0.044063,1.518563,-0.106071,-0.056993,1.358380,-0.175224,-0.078828,1.078220,-0.248200,-0.093542,0.853823,0.149658,-0.034484,1.388556,0.185371,0.004524,1.117183,0.156013,0.152435,0.955409
3,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.120416,0.006976,0.883044,0.003840,-0.034256,0.471156,-0.037889,-0.110215,0.054474,-0.120496,-0.005774,0.891867,-0.115008,-0.008932,0.464448,-0.131187,-0.111831,0.061166,0.024485,-0.027668,1.121472,0.013669,-0.033763,1.400458,0.016207,0.035917,1.482489,-0.028389,-0.049654,1.517476,-0.111719,-0.063275,1.354161,-0.180296,-0.083054,1.079441,-0.242420,-0.091174,0.852902,0.149795,-0.028870,1.384264,0.189640,0.015230,1.114588,0.155567,0.164383,0.956318
4,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.120106,0.007074,0.883351,0.014300,-0.026682,0.469517,-0.018963,-0.083776,0.050292,-0.121062,-0.008037,0.890732,-0.123638,-0.002737,0.468140,-0.142662,-0.116223,0.060926,0.024079,-0.025960,1.121657,0.016667,-0.030611,1.401726,0.020913,0.037539,1.484491,-0.021481,-0.050451,1.520787,-0.111755,-0.056211,1.355856,-0.182039,-0.079827,1.079054,-0.236651,-0.083298,0.856282,0.154760,-0.024807,1.383125,0.193267,0.018190,1.112261,0.160299,0.174966,0.955971
5,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.122312,0.006540,0.887071,0.019689,-0.032064,0.472120,-0.013698,-0.084498,0.050923,-0.122067,-0.006741,0.887006,-0.135044,0.008587,0.469345,-0.158158,-0.122465,0.066731,0.021178,-0.024828,1.120886,0.015438,-0.030146,1.402229,0.024450,0.037646,1.485268,-0.019850,-0.048790,1.522059,-0.115203,-0.052555,1.355500,-0.185414,-0.078409,1.079921,-0.236113,-0.080408,0.854560,0.152944,-0.024707,1.380558,0.192319,0.018990,1.110436,0.165842,0.175186,0.950422
6,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.124998,0.013150,0.889728,0.020579,-0.030471,0.471612,-0.026962,-0.105165,0.044678,-0.125053,-0.013722,0.885446,-0.139248,0.021279,0.465978,-0.166164,-0.118518,0.059581,0.018076,-0.024677,1.118522,0.013851,-0.028434,1.395720,0.027855,0.043472,1.477078,-0.017607,-0.044390,1.517091,-0.118500,-0.049450,1.348881,-0.187019,-0.074065,1.078722,-0.227616,-0.080380,0.851361,0.151697,-0.021389,1.373233,0.196475,0.021979,1.106919,0.175097,0.173499,0.943486
7,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.125218,0.018729,0.891354,0.028308,-0.022935,0.462866,-0.028112,-0.109591,0.033272,-0.123691,-0.016901,0.885554,-0.136446,0.030908,0.458960,-0.170517,-0.116233,0.049502,0.017766,-0.026092,1.117329,0.013898,-0.026039,1.392505,0.030134,0.044847,1.474527,-0.014014,-0.047321,1.513763,-0.119563,-0.042923,1.345929,-0.186051,-0.066692,1.076035,-0.225948,-0.084231,0.843823,0.153817,-0.018465,1.369159,0.193584,0.011191,1.099032,0.178430,0.161256,0.927995
8,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.124766,0.022451,0.894535,0.037600,-0.022779,0.461149,-0.023408,-0.106815,0.031374,-0.123346,-0.019504,0.882266,-0.134523,0.033255,0.452556,-0.171934,-0.112937,0.039447,0.017191,-0.027107,1.115718,0.016532,-0.026010,1.387103,0.034869,0.043607,1.467810,-0.012779,-0.054104,1.507423,-0.121205,-0.040725,1.340148,-0.188073,-0.058890,1.072067,-0.218121,-0.076200,0.838698,0.154766,-0.021873,1.362158,0.195679,0.000319,1.091269,0.182124,0.143145,0.906136
9,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.124503,0.023586,0.894722,0.050963,-0.014893,0.459074,-0.016160,-0.102039,0.024802,-0.125678,-0.022640,0.880181,-0.125441,0.032334,0.445842,-0.168678,-0.111079,0.026179,0.015774,-0.024756,1.114661,0.019586,-0.018745,1.377857,0.043168,0.048538,1.459932,-0.013887,-0.053991,1.500146,-0.121016,-0.031527,1.332996,-0.189507,-0.046639,1.066681,-0.209326,-0.062382,0.833067,0.154159,-0.021430,1.351866,0.196115,-0.013035,1.080744,0.185796,0.124561,0.881986
10,1,Subject_01,Fall,T12,0.000000,0.000000,0.884028,0.124333,0.021036,0.895670,0.052962,-0.018624,0.458369,-0.016283,-0.104894,0.029764,-0.124338,-0.015155,0.879135,-0.117155,0.033651,0.446647,-0.166532,-0.110552,0.024393,0.013674,-0.023719,1.115273,0.020644,-0.016969,1.376682,0.045998,0.044721,1.459529,-0.016050,-0.063753,1.495423,-0.118920,-0.024814,1.334162,-0.191453,-0.036586,1.064898,-0.199732,-0.046806,0.835103,0.152664,-0.027655,1.348580,0.195237,-0.029797,1.076042,0.188164,0.094665,0.870894
