Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.112519,-0.046291,0.891350,0.078332,-0.076719,0.444010,0.041298,-0.161267,0.017644,-0.109105,0.052712,0.874244,-0.126667,0.031678,0.434758,-0.193494,-0.056172,0.010475,0.006930,0.006183,1.113721,0.016814,0.028404,1.370828,0.041019,0.092256,1.474850,0.019364,0.037527,1.577905,-0.116539,0.066821,1.323685,-0.225956,0.022437,1.069790,-0.248135,0.036009,0.842973,0.138625,-0.037985,1.312942,0.180867,-0.141293,1.055218,0.179530,-0.183570,0.843591
2,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.113817,-0.042804,0.890820,0.078392,-0.073728,0.443215,0.043204,-0.158355,0.016447,-0.110312,0.050271,0.875300,-0.129815,0.030116,0.435017,-0.192171,-0.055040,0.010825,0.005800,0.006288,1.113429,0.015630,0.028599,1.370695,0.039886,0.092085,1.475359,0.018523,0.037740,1.579084,-0.118310,0.066554,1.323840,-0.225913,0.020929,1.069203,-0.248170,0.032360,0.841075,0.137863,-0.037559,1.312327,0.180558,-0.142943,1.056176,0.182571,-0.183924,0.842419
3,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.114009,-0.040364,0.890719,0.077713,-0.073510,0.443177,0.042941,-0.157078,0.015918,-0.110751,0.048049,0.875790,-0.133261,0.023979,0.435692,-0.191654,-0.053664,0.011208,0.005681,0.007284,1.112910,0.014442,0.027753,1.369348,0.038953,0.091579,1.473662,0.018324,0.037690,1.578320,-0.118660,0.064500,1.322639,-0.225279,0.020431,1.068303,-0.246138,0.030358,0.839270,0.136120,-0.037629,1.310142,0.179087,-0.142098,1.055607,0.182800,-0.182604,0.839392
4,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.115613,-0.041078,0.890537,0.079758,-0.072309,0.443742,0.044049,-0.155397,0.015238,-0.111677,0.048295,0.875806,-0.134860,0.022493,0.435695,-0.189707,-0.050801,0.009840,0.005490,0.008109,1.111948,0.014403,0.027839,1.368850,0.039419,0.092189,1.472398,0.019958,0.039317,1.577298,-0.118211,0.064911,1.321123,-0.223870,0.023955,1.066915,-0.242242,0.033311,0.837760,0.135400,-0.036544,1.308761,0.180832,-0.139911,1.054859,0.185902,-0.174892,0.837310
5,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.117971,-0.039863,0.890629,0.081665,-0.073842,0.443717,0.045498,-0.155386,0.015317,-0.113850,0.047034,0.875587,-0.136916,0.020154,0.435314,-0.187084,-0.052966,0.008367,0.004407,0.007263,1.111417,0.012215,0.026032,1.368686,0.037607,0.089506,1.471609,0.018942,0.036852,1.578687,-0.119158,0.063774,1.319806,-0.222650,0.023421,1.064855,-0.239193,0.032332,0.835470,0.132114,-0.037567,1.308721,0.178508,-0.141784,1.055189,0.188491,-0.172184,0.835187
6,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.119629,-0.035752,0.890873,0.081783,-0.073400,0.444669,0.045951,-0.156019,0.016171,-0.115063,0.044949,0.875285,-0.137494,0.017053,0.436387,-0.185799,-0.054256,0.007851,0.004384,0.005701,1.110602,0.010564,0.021892,1.367974,0.035604,0.085908,1.469585,0.015460,0.029915,1.575791,-0.118467,0.061368,1.316401,-0.218658,0.023909,1.061089,-0.235087,0.033442,0.832502,0.130028,-0.039165,1.307359,0.176311,-0.141644,1.055788,0.186601,-0.171562,0.835525
7,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.120994,-0.033138,0.890772,0.083558,-0.071319,0.445006,0.046652,-0.160502,0.016548,-0.115466,0.043657,0.874789,-0.135214,0.019421,0.436324,-0.183675,-0.053023,0.007034,0.003880,0.005222,1.110280,0.008678,0.022679,1.369097,0.033155,0.086644,1.470022,0.013334,0.029583,1.575931,-0.120299,0.061737,1.314822,-0.218455,0.027340,1.058942,-0.229995,0.039171,0.832011,0.128692,-0.040007,1.308284,0.176698,-0.142301,1.058324,0.184720,-0.172457,0.840430
8,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.122034,-0.028129,0.890608,0.085201,-0.073321,0.444676,0.046532,-0.165972,0.017665,-0.116449,0.040263,0.874783,-0.134975,0.018876,0.436371,-0.183093,-0.056977,0.007802,0.004389,0.004848,1.110518,0.008088,0.021698,1.369999,0.032467,0.085927,1.471423,0.011970,0.025358,1.575482,-0.118664,0.060434,1.314171,-0.218741,0.022305,1.059435,-0.225566,0.033126,0.834923,0.127113,-0.039833,1.309720,0.173021,-0.145237,1.061786,0.182853,-0.173527,0.845461
9,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.123127,-0.022302,0.889992,0.086317,-0.073465,0.444841,0.046876,-0.170269,0.017825,-0.117475,0.036178,0.873955,-0.136956,0.013978,0.437213,-0.185046,-0.063777,0.008594,0.004493,0.004335,1.110799,0.007293,0.020156,1.370418,0.031164,0.083390,1.474792,0.010362,0.020520,1.578134,-0.117810,0.058058,1.314487,-0.219792,0.019192,1.059597,-0.221724,0.032823,0.836316,0.126205,-0.040751,1.309076,0.169387,-0.148178,1.063702,0.180794,-0.180278,0.848090
10,1,Subject_01,Fall,T11,0.000000,0.000000,0.878280,0.124530,-0.016430,0.888681,0.085594,-0.074148,0.444279,0.045586,-0.177013,0.017573,-0.118518,0.031767,0.873691,-0.138297,0.011557,0.438250,-0.187498,-0.068309,0.010403,0.005216,0.005153,1.110479,0.007662,0.022021,1.370316,0.030999,0.085661,1.474816,0.010009,0.022356,1.575712,-0.119401,0.057916,1.314260,-0.220657,0.018529,1.059272,-0.220344,0.030485,0.839130,0.128144,-0.038582,1.310779,0.169669,-0.146927,1.066594,0.181187,-0.183358,0.851514
