Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117700,-0.060995,0.574277,0.342456,0.282057,0.452162,0.192091,0.188193,0.031788,-0.117971,0.059223,0.587367,-0.018488,0.444778,0.451467,0.026357,0.314894,0.012256,0.009730,0.077381,0.797740,0.064709,0.075789,1.042137,0.106946,0.126311,1.137520,0.089263,0.078893,1.226376,-0.081092,0.138376,0.987254,-0.126194,0.176009,0.715132,0.038299,0.238418,0.552535,0.184632,0.010780,0.959189,0.219674,0.040584,0.685808,0.155372,0.195462,0.537414
2,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117449,-0.061844,0.574235,0.342460,0.282067,0.452474,0.196933,0.196450,0.032807,-0.118910,0.057760,0.586212,-0.015726,0.446097,0.450204,0.031570,0.322314,0.010329,0.006924,0.078929,0.798070,0.065410,0.077467,1.042163,0.107425,0.128339,1.136786,0.090610,0.081062,1.225573,-0.080964,0.141626,0.987095,-0.126181,0.178902,0.715782,0.039336,0.239243,0.554935,0.184988,0.010625,0.957931,0.219348,0.040364,0.686232,0.154621,0.196896,0.539456
3,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117592,-0.062706,0.575976,0.341463,0.283358,0.456467,0.195404,0.208007,0.036362,-0.118607,0.057637,0.584273,-0.012174,0.448161,0.448906,0.032313,0.323491,0.009390,0.006116,0.084643,0.797266,0.068265,0.084951,1.040170,0.109011,0.134684,1.133477,0.093369,0.087835,1.223479,-0.078519,0.150595,0.985345,-0.124269,0.184826,0.715261,0.040826,0.241579,0.554446,0.185165,0.014529,0.957227,0.219193,0.043438,0.685552,0.153467,0.199768,0.540249
4,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117164,-0.064818,0.577384,0.344924,0.286353,0.462388,0.182341,0.199105,0.059320,-0.118832,0.057462,0.583321,-0.008636,0.449859,0.446990,0.033711,0.321508,0.017934,0.004491,0.081792,0.798324,0.069014,0.084364,1.041373,0.109700,0.134227,1.133461,0.095659,0.087948,1.222707,-0.077909,0.150734,0.985896,-0.124772,0.182390,0.717167,0.041329,0.240483,0.557797,0.186075,0.012212,0.958488,0.216400,0.039566,0.688191,0.153372,0.197563,0.543173
5,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117065,-0.065096,0.576923,0.346432,0.286721,0.456921,0.137202,0.171690,0.084380,-0.118587,0.057207,0.583783,-0.006733,0.447963,0.445413,0.035380,0.321484,0.027060,0.004190,0.078265,0.799669,0.070017,0.080678,1.043571,0.111148,0.131529,1.134534,0.098171,0.086597,1.223754,-0.077335,0.148434,0.988316,-0.124698,0.180540,0.719915,0.042637,0.239222,0.560287,0.186622,0.008732,0.960120,0.216224,0.036467,0.690096,0.154440,0.195164,0.545184
6,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117804,-0.063236,0.576573,0.341362,0.284574,0.440748,0.109903,0.150885,0.095082,-0.118553,0.057077,0.583788,-0.006831,0.445153,0.442224,0.032239,0.317948,0.028054,0.006794,0.080021,0.800037,0.071322,0.081432,1.044229,0.112311,0.131459,1.134585,0.100552,0.087246,1.223660,-0.076837,0.147975,0.991505,-0.126763,0.180303,0.723269,0.043592,0.237981,0.563347,0.189714,0.011576,0.960456,0.219041,0.037007,0.690788,0.157134,0.194756,0.545791
7,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.117916,-0.062685,0.576462,0.337609,0.280478,0.426844,0.089825,0.140873,0.096609,-0.117691,0.057246,0.585371,-0.009454,0.442678,0.441727,0.028987,0.317473,0.028087,0.006950,0.079027,0.799558,0.072214,0.082672,1.043558,0.113951,0.131175,1.134162,0.102749,0.087320,1.224199,-0.076421,0.147827,0.992238,-0.126366,0.177439,0.722297,0.044761,0.235523,0.563084,0.191883,0.016245,0.959381,0.219553,0.040422,0.689586,0.157339,0.193680,0.542655
8,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.118510,-0.060615,0.574638,0.332898,0.278218,0.413503,0.079489,0.134097,0.090846,-0.117963,0.056252,0.587056,-0.012783,0.440796,0.444489,0.032987,0.323552,0.029474,0.008480,0.079138,0.799159,0.073859,0.085058,1.044153,0.115846,0.132195,1.134948,0.105205,0.088241,1.224176,-0.074128,0.147951,0.993149,-0.125232,0.177831,0.722807,0.045459,0.235109,0.561571,0.195146,0.019940,0.959307,0.222755,0.046782,0.688323,0.160955,0.193757,0.537842
9,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.119335,-0.060131,0.573821,0.331485,0.272561,0.398750,0.072176,0.124408,0.077431,-0.118221,0.055776,0.590493,-0.013400,0.437148,0.443343,0.033528,0.326248,0.023102,0.011416,0.080438,0.798059,0.082036,0.093654,1.041399,0.123896,0.137716,1.132554,0.113008,0.095388,1.223355,-0.067860,0.154400,0.991281,-0.120342,0.181602,0.721425,0.049710,0.236857,0.555308,0.202001,0.028902,0.955180,0.226731,0.056686,0.682582,0.162965,0.197647,0.529270
10,1,Subject_01,Fall,T04,0.000000,0.000000,0.584541,0.120361,-0.058227,0.571896,0.328621,0.268336,0.387817,0.067734,0.116310,0.078521,-0.117253,0.056990,0.592956,-0.013396,0.435757,0.446157,0.034433,0.327056,0.027628,0.013740,0.081669,0.797690,0.085253,0.097586,1.041041,0.127136,0.140423,1.132060,0.116404,0.097237,1.223874,-0.065374,0.156061,0.992677,-0.119893,0.182305,0.723856,0.049214,0.232387,0.552940,0.205190,0.031244,0.954330,0.227004,0.056952,0.681404,0.161642,0.193760,0.525762
