Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.105090,0.090620,0.576084,-0.144282,0.398515,0.659737,-0.297420,0.062206,0.461300,-0.076545,-0.094498,0.597445,-0.373392,0.261200,0.645967,-0.449739,0.018861,0.479939,-0.058005,0.026241,0.792038,-0.266934,0.105502,0.955695,-0.353522,0.147589,0.932785,-0.359030,0.172787,1.015436,-0.276528,-0.032494,0.928946,-0.376968,0.035790,0.712705,-0.443701,0.241131,0.621187,-0.152008,0.208585,0.963896,-0.163599,0.318695,0.724756,-0.367723,0.348294,0.554605
2,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.101624,0.092407,0.574761,-0.157051,0.398226,0.654754,-0.301861,0.064776,0.459824,-0.071900,-0.096394,0.599726,-0.342639,0.237803,0.648651,-0.451322,0.042900,0.475591,-0.059549,0.030361,0.791012,-0.268714,0.109930,0.954232,-0.356755,0.149450,0.931589,-0.362258,0.171172,1.012714,-0.279659,-0.028272,0.928244,-0.377647,0.037645,0.710900,-0.447309,0.239794,0.617814,-0.153928,0.212324,0.961362,-0.166740,0.319512,0.721137,-0.368725,0.348335,0.552473
3,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.099691,0.091840,0.575098,-0.146093,0.409642,0.659106,-0.305672,0.075647,0.461549,-0.071441,-0.096162,0.599044,-0.312748,0.233042,0.674701,-0.457430,0.068672,0.478265,-0.060208,0.031261,0.790528,-0.267057,0.112372,0.953506,-0.354405,0.149920,0.930812,-0.360127,0.170807,1.009748,-0.279555,-0.027636,0.927978,-0.374446,0.038140,0.709620,-0.448124,0.236910,0.617536,-0.153705,0.212977,0.960158,-0.167325,0.315341,0.720651,-0.369394,0.345068,0.552156
4,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.099079,0.090638,0.574495,-0.145760,0.407495,0.658571,-0.324499,0.090860,0.459398,-0.067866,-0.097856,0.600391,-0.319566,0.222399,0.690471,-0.434012,0.048993,0.465517,-0.060401,0.030940,0.791083,-0.265228,0.111736,0.955698,-0.354849,0.150422,0.931662,-0.360743,0.172877,1.006269,-0.280358,-0.026682,0.930651,-0.372153,0.040719,0.711143,-0.448584,0.237140,0.618983,-0.152497,0.212579,0.961344,-0.166077,0.313156,0.721587,-0.367569,0.346940,0.553914
5,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.099815,0.089082,0.575620,-0.147306,0.410553,0.654978,-0.326446,0.091236,0.461964,-0.069859,-0.096698,0.598462,-0.339936,0.214106,0.688035,-0.423219,0.045157,0.456732,-0.059437,0.029470,0.792111,-0.262964,0.110114,0.958031,-0.351964,0.151006,0.933980,-0.357654,0.175911,1.006388,-0.278206,-0.026645,0.933300,-0.372519,0.041798,0.714222,-0.445482,0.241397,0.621293,-0.148714,0.213079,0.963346,-0.165567,0.313876,0.723501,-0.367120,0.347625,0.557391
6,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.098626,0.088375,0.576558,-0.147679,0.416915,0.656334,-0.308165,0.077109,0.467533,-0.067229,-0.097887,0.597479,-0.310216,0.217223,0.707887,-0.423093,0.070434,0.466824,-0.060619,0.029984,0.792181,-0.264654,0.111933,0.957496,-0.354247,0.151192,0.933961,-0.361072,0.175330,1.006925,-0.280835,-0.026002,0.933272,-0.372988,0.042196,0.713176,-0.447353,0.238256,0.619974,-0.151800,0.213515,0.962504,-0.167163,0.313385,0.723008,-0.367798,0.346914,0.556584
7,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.097904,0.088075,0.576714,-0.140760,0.421370,0.661825,-0.314143,0.083155,0.469964,-0.067397,-0.096324,0.598023,-0.307426,0.196658,0.712932,-0.435700,0.087992,0.480187,-0.061481,0.032634,0.792439,-0.265489,0.115213,0.956886,-0.355283,0.153835,0.933418,-0.364317,0.174254,1.007452,-0.282350,-0.023379,0.932806,-0.372950,0.044300,0.711632,-0.448987,0.238890,0.619496,-0.152336,0.214428,0.962843,-0.169236,0.312820,0.721752,-0.369245,0.346031,0.555143
8,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.098255,0.088114,0.576515,-0.137246,0.421954,0.667393,-0.306864,0.082136,0.471562,-0.065121,-0.096536,0.598026,-0.299087,0.184849,0.713460,-0.438229,0.104494,0.489220,-0.060045,0.032733,0.791533,-0.264906,0.116706,0.954925,-0.352912,0.155201,0.931929,-0.360740,0.175530,1.009157,-0.281567,-0.020815,0.931630,-0.369475,0.046680,0.711154,-0.444509,0.241603,0.619695,-0.151169,0.214832,0.961465,-0.168313,0.313035,0.721419,-0.368095,0.345537,0.554073
9,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.098683,0.087753,0.576457,-0.135879,0.423632,0.667379,-0.301598,0.078538,0.472656,-0.062923,-0.097496,0.597143,-0.306935,0.163951,0.725690,-0.438537,0.125915,0.501205,-0.059537,0.033664,0.791284,-0.265685,0.118898,0.953167,-0.353241,0.155742,0.930738,-0.360775,0.176040,1.010333,-0.280960,-0.020740,0.930040,-0.370245,0.046797,0.710378,-0.445765,0.241698,0.618592,-0.151256,0.215784,0.960216,-0.167775,0.314073,0.720345,-0.367738,0.347070,0.552471
10,1,Subject_02,Fall,T15,0.000000,0.000000,0.584956,0.099114,0.086393,0.577265,-0.137984,0.423816,0.667750,-0.303688,0.079097,0.470978,-0.061205,-0.098161,0.598791,-0.322571,0.131930,0.734728,-0.443638,0.132467,0.503583,-0.060922,0.033027,0.791371,-0.268122,0.119115,0.952794,-0.355829,0.153508,0.931514,-0.364096,0.172414,1.012377,-0.282075,-0.021996,0.929552,-0.373583,0.043314,0.710228,-0.449061,0.238398,0.619436,-0.155384,0.214519,0.959879,-0.168805,0.314200,0.719007,-0.369166,0.346700,0.551706
