Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.097598,0.073651,0.857750,-0.035739,0.038734,0.431170,-0.142200,0.007989,0.008065,-0.114036,-0.066353,0.856419,-0.045312,-0.056579,0.428722,-0.003576,-0.049565,0.007180,0.037046,-0.017179,1.105448,-0.020573,0.002749,1.350469,-0.108633,0.053208,1.408840,-0.132408,0.044796,1.519073,-0.104689,-0.115406,1.337588,-0.148387,-0.195228,1.066946,-0.179575,0.037208,1.078198,0.113850,0.068706,1.351695,0.194291,0.105253,1.109493,-0.039520,0.196033,1.058475
2,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.094647,0.075590,0.855366,-0.040378,0.063882,0.431125,-0.157877,0.048521,0.020792,-0.113157,-0.067765,0.858100,-0.039459,-0.061374,0.429523,-0.009974,-0.070462,0.000000,0.039304,-0.013769,1.105999,-0.017521,0.008465,1.352440,-0.109170,0.056344,1.406880,-0.130546,0.066298,1.516864,-0.095610,-0.115419,1.341177,-0.141086,-0.198714,1.071193,-0.177809,0.031166,1.081364,0.113430,0.078495,1.353417,0.195132,0.113422,1.108458,-0.042416,0.191849,1.058850
3,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.093020,0.074230,0.853205,-0.064193,0.035032,0.440629,-0.234691,-0.106702,0.089731,-0.112009,-0.066371,0.861561,-0.030051,-0.062230,0.435448,-0.017381,-0.105452,0.012111,0.042418,-0.012083,1.106902,-0.013998,0.004894,1.355901,-0.110934,0.050502,1.412843,-0.136325,0.056328,1.521697,-0.084381,-0.115263,1.346431,-0.131986,-0.207698,1.071865,-0.187075,0.015141,1.082916,0.115159,0.078495,1.358262,0.196633,0.116525,1.107551,-0.045505,0.190016,1.056647
4,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.091333,0.075252,0.853409,-0.071277,0.055303,0.437966,-0.243631,-0.219115,0.214478,-0.107115,-0.067740,0.864964,-0.024370,-0.064275,0.439767,-0.020146,-0.121165,0.039568,0.043424,-0.013217,1.105649,-0.014128,-0.005879,1.358660,-0.114805,0.035963,1.417976,-0.139259,0.040608,1.526410,-0.077728,-0.118162,1.348737,-0.129002,-0.209842,1.067429,-0.192474,0.004289,1.081979,0.114023,0.070907,1.363032,0.194938,0.118755,1.108644,-0.046379,0.192441,1.058537
5,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.084785,0.082872,0.849949,-0.057922,0.090987,0.438219,-0.203434,-0.205063,0.301936,-0.103493,-0.073589,0.866381,-0.020415,-0.058893,0.444956,-0.008815,-0.098846,0.044636,0.044237,-0.015667,1.105093,-0.011468,-0.007782,1.358980,-0.114403,0.033441,1.418803,-0.144296,0.040022,1.524494,-0.073736,-0.123361,1.349598,-0.132470,-0.210521,1.068936,-0.189829,0.007677,1.086633,0.114540,0.069803,1.365624,0.191792,0.121232,1.111588,-0.050126,0.192668,1.061085
6,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.076382,0.083901,0.851475,-0.058691,0.087874,0.452075,-0.156340,-0.096184,0.307644,-0.097456,-0.079108,0.863366,-0.022489,-0.074883,0.442879,-0.009989,-0.122414,0.044666,0.045651,-0.013747,1.105543,-0.007519,-0.006538,1.359209,-0.108413,0.033630,1.417291,-0.139998,0.052738,1.514856,-0.071599,-0.124877,1.345659,-0.135969,-0.213722,1.069504,-0.191880,0.009605,1.092224,0.116876,0.069608,1.367030,0.191720,0.119551,1.112828,-0.049882,0.192441,1.060110
7,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.068748,0.091338,0.854508,-0.072195,0.058368,0.458269,-0.171395,-0.096976,0.127810,-0.091440,-0.089564,0.860726,-0.025539,-0.082178,0.441712,0.007289,-0.155484,0.040170,0.047764,-0.014824,1.105610,-0.004587,-0.012025,1.361203,-0.104959,0.030422,1.412985,-0.130294,0.067518,1.498954,-0.068913,-0.132318,1.344699,-0.141480,-0.214154,1.065580,-0.199856,0.001679,1.091401,0.116725,0.065524,1.364921,0.189829,0.118016,1.110298,-0.052208,0.191369,1.057487
8,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.065599,0.095817,0.855344,-0.101507,0.023936,0.455319,-0.215272,-0.179334,0.177432,-0.088712,-0.092643,0.861047,-0.027988,-0.081296,0.452203,0.011350,-0.164122,0.052959,0.045925,-0.016414,1.105361,-0.001826,-0.013195,1.361960,-0.099982,0.029801,1.412266,-0.110166,0.073765,1.487840,-0.067574,-0.137337,1.342914,-0.142936,-0.211482,1.065299,-0.202981,-0.001910,1.095493,0.115901,0.068072,1.365315,0.184430,0.127556,1.109887,-0.057822,0.192119,1.060571
9,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.060628,0.098984,0.853999,-0.111466,0.026767,0.449210,-0.261805,-0.251938,0.253991,-0.084355,-0.093551,0.862585,-0.029155,-0.088205,0.457618,0.022254,-0.144311,0.065549,0.043099,-0.016744,1.108339,-0.005753,-0.013789,1.366965,-0.103863,0.032163,1.421895,-0.110366,0.071193,1.502618,-0.064795,-0.135978,1.345832,-0.147059,-0.218344,1.064299,-0.213755,-0.010648,1.099928,0.112966,0.072342,1.369131,0.179463,0.138173,1.110642,-0.068362,0.194297,1.066351
10,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.051701,0.106812,0.855398,-0.099212,0.061974,0.460181,-0.200641,-0.146354,0.289216,-0.076558,-0.101868,0.858790,-0.028972,-0.087625,0.449848,0.023813,-0.138825,0.062845,0.043090,-0.016479,1.110076,-0.008769,-0.011279,1.364780,-0.105200,0.036257,1.426925,-0.113397,0.061590,1.524288,-0.066975,-0.140116,1.344994,-0.149520,-0.222580,1.068323,-0.215526,-0.018162,1.102547,0.110011,0.078934,1.367699,0.172655,0.149893,1.107290,-0.079718,0.188493,1.064146
11,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.045458,0.113221,0.857216,-0.119334,-0.001899,0.446665,-0.227401,-0.231878,0.180668,-0.067554,-0.112393,0.859743,-0.026422,-0.078221,0.453963,0.048701,-0.123939,0.051762,0.044061,-0.015454,1.110665,-0.011239,-0.012446,1.365800,-0.105376,0.034740,1.431371,-0.114495,0.044832,1.538565,-0.067063,-0.141095,1.344001,-0.146726,-0.224647,1.065654,-0.219471,-0.023740,1.101587,0.107498,0.081095,1.366217,0.168889,0.158284,1.101083,-0.085105,0.184836,1.061919
12,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.045370,0.115397,0.858763,-0.097221,0.032973,0.454348,-0.244356,-0.276858,0.246818,-0.064014,-0.113284,0.859536,-0.021872,-0.077250,0.458232,0.041738,-0.158187,0.051188,0.043703,-0.016148,1.110476,-0.012487,-0.014148,1.365700,-0.105161,0.036260,1.429805,-0.108692,0.046886,1.542398,-0.068440,-0.143436,1.342543,-0.142725,-0.226440,1.062276,-0.226893,-0.042292,1.102054,0.105541,0.081884,1.364955,0.167025,0.165192,1.101120,-0.090971,0.183857,1.065559
13,1,Subject_02,Fall,T06,0.000000,0.000000,0.860164,0.043220,0.118102,0.855496,-0.081392,0.062043,0.450046,-0.234888,-0.265269,0.252114,-0.061389,-0.116183,0.858975,-0.019703,-0.072019,0.454997,0.054472,-0.134864,0.056168,0.041970,-0.014579,1.109511,-0.009683,-0.009413,1.361979,-0.103642,0.038913,1.423644,-0.108542,0.049987,1.538537,-0.064919,-0.143014,1.336566,-0.135785,-0.228872,1.060337,-0.231879,-0.059348,1.099462,0.107362,0.088868,1.360363,0.162906,0.176799,1.100346,-0.097761,0.183632,1.065696
