Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.124373,-0.063900,0.903232,-0.121421,-0.123096,0.466383,-0.149158,-0.042023,0.094632,0.122078,0.068017,0.868075,0.150332,-0.046825,0.440520,0.218892,0.050574,0.454834,0.073350,-0.011410,1.108523,0.267619,-0.136087,1.272263,0.351506,-0.205245,1.272984,0.389833,-0.210164,1.363716,0.338185,-0.043073,1.232208,0.360333,0.028090,0.963915,0.360750,-0.013850,0.733207,0.118190,-0.166665,1.309657,-0.108710,-0.138968,1.147216,-0.130521,-0.183389,0.970539
2,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.123940,-0.066579,0.903659,-0.125201,-0.137250,0.465402,-0.147043,-0.044700,0.090100,0.121617,0.068943,0.865149,0.163699,-0.024253,0.438489,0.231887,0.049993,0.386388,0.081365,-0.013822,1.105742,0.280189,-0.142593,1.257752,0.367428,-0.214493,1.250818,0.408709,-0.225383,1.340230,0.352451,-0.048621,1.215858,0.379364,0.022142,0.946528,0.381468,-0.026413,0.716507,0.128132,-0.174983,1.298078,-0.101548,-0.137369,1.143225,-0.126792,-0.186888,0.974800
3,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.123393,-0.070043,0.903059,-0.128175,-0.136942,0.462057,-0.165805,-0.059964,0.075044,0.121105,0.071260,0.865645,0.165225,-0.027637,0.439514,0.209344,0.003456,0.272291,0.088410,-0.015317,1.106363,0.291167,-0.147293,1.247662,0.376262,-0.219835,1.232942,0.423106,-0.234241,1.317929,0.363681,-0.052925,1.201305,0.396055,0.013385,0.927257,0.403380,-0.041649,0.694635,0.136657,-0.182162,1.292233,-0.098066,-0.142586,1.144916,-0.129495,-0.191337,0.970396
4,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.123124,-0.071612,0.904038,-0.135842,-0.161357,0.463614,-0.167227,-0.076825,0.087526,0.119330,0.072563,0.864907,0.182516,-0.023573,0.441831,0.187502,-0.075709,0.268924,0.093473,-0.020668,1.103325,0.301489,-0.155249,1.230637,0.387996,-0.230311,1.207957,0.438035,-0.248377,1.288679,0.372713,-0.059723,1.179564,0.409490,-0.000263,0.907450,0.424204,-0.059499,0.678013,0.146912,-0.189613,1.280509,-0.093986,-0.146385,1.143622,-0.131067,-0.198946,0.964499
5,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.121898,-0.073827,0.904801,-0.134362,-0.151363,0.458386,-0.192822,-0.114856,0.056742,0.117110,0.075364,0.863844,0.170506,-0.055622,0.438623,0.215748,0.056245,0.114061,0.098836,-0.028797,1.101576,0.310578,-0.165779,1.216629,0.395450,-0.242515,1.187732,0.447375,-0.259558,1.264975,0.383139,-0.072760,1.162667,0.422318,-0.018765,0.888124,0.445955,-0.081613,0.658920,0.150435,-0.202429,1.273275,-0.090554,-0.146959,1.150504,-0.134480,-0.200021,0.966824
6,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.120516,-0.077682,0.905517,-0.141290,-0.164978,0.463327,-0.235950,-0.172691,0.061855,0.116648,0.077247,0.866325,0.168420,-0.075214,0.443401,0.185154,-0.002215,0.039543,0.101458,-0.035226,1.097996,0.310922,-0.177634,1.200670,0.393759,-0.253907,1.167038,0.447624,-0.274617,1.235135,0.382166,-0.087106,1.146471,0.428237,-0.034699,0.873970,0.453458,-0.099815,0.649689,0.153353,-0.213139,1.261799,-0.089815,-0.152323,1.152453,-0.149434,-0.207589,0.969887
7,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.121014,-0.077998,0.906358,-0.145150,-0.150248,0.460840,-0.250915,-0.190874,0.051310,0.118185,0.077562,0.865953,0.165378,-0.069320,0.441673,0.165897,-0.027452,0.027284,0.108123,-0.040534,1.095025,0.318508,-0.184890,1.184862,0.404041,-0.263495,1.142505,0.458523,-0.284860,1.205300,0.393913,-0.095203,1.126719,0.444599,-0.045769,0.856249,0.469835,-0.115807,0.630953,0.160243,-0.222374,1.251199,-0.087349,-0.153512,1.151387,-0.155320,-0.208039,0.967574
8,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.120607,-0.078764,0.905748,-0.148424,-0.140447,0.459562,-0.245800,-0.164814,0.048121,0.119366,0.077333,0.866686,0.157418,-0.065257,0.440819,0.135661,-0.068515,0.022729,0.114003,-0.043697,1.090876,0.326180,-0.192881,1.166381,0.411830,-0.272174,1.117539,0.468717,-0.293045,1.180259,0.403064,-0.099559,1.109562,0.457809,-0.050416,0.837476,0.482457,-0.129782,0.617403,0.170046,-0.230226,1.237923,-0.083679,-0.154283,1.152321,-0.154445,-0.204365,0.967863
9,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.121034,-0.079773,0.905532,-0.154744,-0.140716,0.456980,-0.253385,-0.170231,0.036947,0.120628,0.078294,0.869100,0.151734,-0.059457,0.437193,0.129063,-0.089466,0.017351,0.119960,-0.046655,1.084875,0.330536,-0.199577,1.148711,0.416597,-0.279539,1.096644,0.479858,-0.300017,1.157065,0.411578,-0.103698,1.091803,0.468983,-0.053280,0.821191,0.494304,-0.139744,0.605022,0.177750,-0.234556,1.224475,-0.083797,-0.159586,1.145581,-0.163694,-0.210554,0.962888
10,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.122993,-0.076917,0.905356,-0.159276,-0.140351,0.456490,-0.256842,-0.163922,0.034051,0.121690,0.075765,0.869182,0.144713,-0.056959,0.434758,0.122714,-0.094850,0.013171,0.124073,-0.051941,1.080153,0.333419,-0.208961,1.134940,0.420202,-0.286140,1.077533,0.485223,-0.306337,1.135189,0.414528,-0.112253,1.080292,0.474459,-0.060329,0.809931,0.500395,-0.145294,0.594237,0.183433,-0.242880,1.213954,-0.080873,-0.158072,1.150166,-0.165205,-0.206598,0.969464
11,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.123837,-0.074945,0.904502,-0.163112,-0.140798,0.456285,-0.264989,-0.162174,0.030842,0.122450,0.073437,0.869203,0.140283,-0.048832,0.430647,0.116426,-0.088169,0.007407,0.126116,-0.056149,1.076642,0.334437,-0.218172,1.123482,0.419587,-0.290714,1.063261,0.487975,-0.311727,1.122881,0.416983,-0.120592,1.070587,0.478098,-0.065736,0.800833,0.504319,-0.145675,0.583732,0.185791,-0.248409,1.206144,-0.080599,-0.159045,1.147854,-0.167299,-0.197535,0.963557
12,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.125021,-0.073443,0.904005,-0.167818,-0.143952,0.456442,-0.271263,-0.167617,0.029767,0.122971,0.072976,0.869644,0.135024,-0.049272,0.430630,0.110929,-0.101215,0.006810,0.129719,-0.059130,1.072318,0.335937,-0.226028,1.111215,0.418684,-0.296305,1.047784,0.490383,-0.318322,1.102240,0.421019,-0.126443,1.058406,0.481982,-0.071609,0.788731,0.509188,-0.146164,0.571326,0.186440,-0.251895,1.198927,-0.079035,-0.163801,1.146148,-0.172239,-0.202289,0.966657
13,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.124647,-0.072175,0.905017,-0.173257,-0.149049,0.457699,-0.277604,-0.178733,0.031098,0.122368,0.072563,0.869473,0.132964,-0.048135,0.431139,0.107542,-0.101388,0.007285,0.131674,-0.060610,1.069156,0.337605,-0.230150,1.103096,0.418212,-0.296941,1.034606,0.494388,-0.318177,1.082070,0.422548,-0.132332,1.047839,0.484660,-0.075646,0.779159,0.512429,-0.146749,0.561053,0.188822,-0.251225,1.194215,-0.075426,-0.166164,1.146717,-0.174551,-0.195283,0.964098
14,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.123704,-0.072577,0.907592,-0.174351,-0.147360,0.459996,-0.279210,-0.172219,0.033775,0.121761,0.073238,0.866670,0.132817,-0.049493,0.430236,0.103279,-0.097867,0.006782,0.134324,-0.059506,1.067924,0.341808,-0.227511,1.101628,0.422116,-0.291137,1.028527,0.499967,-0.308296,1.069476,0.424776,-0.128568,1.044551,0.490807,-0.073210,0.773376,0.519713,-0.143461,0.555803,0.193024,-0.247583,1.196855,-0.068171,-0.162399,1.153364,-0.170170,-0.187125,0.968267
15,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.121616,-0.074857,0.908761,-0.175279,-0.146539,0.458757,-0.278874,-0.167525,0.032796,0.121127,0.072349,0.865258,0.135312,-0.049622,0.428885,0.101755,-0.101217,0.003534,0.138094,-0.060649,1.064507,0.347033,-0.228168,1.093304,0.426245,-0.290613,1.016498,0.503669,-0.306989,1.053776,0.428377,-0.128396,1.036924,0.499266,-0.073669,0.764680,0.529370,-0.137929,0.546467,0.198416,-0.249563,1.192853,-0.060029,-0.164689,1.153640,-0.166343,-0.191555,0.972565
16,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.119911,-0.075616,0.909738,-0.177290,-0.142886,0.458163,-0.280063,-0.162811,0.033755,0.120172,0.074036,0.864697,0.135692,-0.046492,0.427912,0.101028,-0.094787,0.001218,0.140496,-0.064669,1.059055,0.349252,-0.235276,1.078850,0.426568,-0.294106,0.998752,0.506071,-0.312205,1.032503,0.430999,-0.132355,1.023147,0.500142,-0.076851,0.750804,0.531234,-0.135359,0.533442,0.200024,-0.255974,1.185489,-0.056306,-0.172293,1.150401,-0.166524,-0.199264,0.978683
17,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.118858,-0.076661,0.910133,-0.179138,-0.139486,0.457940,-0.279385,-0.159023,0.033642,0.119847,0.074783,0.864783,0.136141,-0.045271,0.427805,0.099558,-0.088369,0.000652,0.142217,-0.066112,1.054988,0.351703,-0.237686,1.069366,0.426897,-0.293623,0.986470,0.507877,-0.313062,1.014589,0.433655,-0.132748,1.014277,0.502962,-0.073936,0.741406,0.537702,-0.127953,0.524475,0.203294,-0.257044,1.179848,-0.053097,-0.177599,1.147378,-0.162014,-0.202852,0.980711
18,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.117721,-0.077659,0.910651,-0.185475,-0.141046,0.458779,-0.285889,-0.158961,0.035759,0.118936,0.075600,0.864142,0.139010,-0.044145,0.428727,0.099911,-0.081983,0.000000,0.142922,-0.065323,1.050791,0.356556,-0.238198,1.062048,0.430599,-0.292650,0.978320,0.510897,-0.313270,1.004328,0.435509,-0.131376,1.006675,0.506994,-0.073101,0.732585,0.545028,-0.125093,0.515803,0.208360,-0.259482,1.176365,-0.050989,-0.181280,1.146720,-0.155654,-0.210139,0.983384
19,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.117142,-0.077679,0.911013,-0.187464,-0.140773,0.460131,-0.289313,-0.159065,0.036905,0.118137,0.076183,0.863343,0.140728,-0.047745,0.429781,0.100175,-0.081771,0.001217,0.145967,-0.065316,1.046794,0.361183,-0.235822,1.053873,0.432440,-0.290352,0.968895,0.514282,-0.311389,0.993812,0.438447,-0.127021,0.999101,0.508776,-0.070663,0.723694,0.549489,-0.123088,0.508887,0.215727,-0.260301,1.171883,-0.045066,-0.181429,1.152188,-0.151601,-0.209174,0.991143
20,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.116241,-0.079211,0.911259,-0.189446,-0.136680,0.461020,-0.291671,-0.157463,0.038826,0.117121,0.077654,0.862942,0.143900,-0.050661,0.430962,0.100464,-0.082260,0.002829,0.150898,-0.067571,1.043124,0.366492,-0.235166,1.047771,0.434098,-0.289031,0.959738,0.516874,-0.309771,0.981434,0.441793,-0.123669,0.993085,0.512162,-0.070373,0.715220,0.554423,-0.123530,0.504006,0.226821,-0.264549,1.167665,-0.040636,-0.185132,1.156100,-0.146828,-0.211148,0.992651
21,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.114594,-0.081319,0.912013,-0.190604,-0.133623,0.461801,-0.291901,-0.156954,0.038748,0.115310,0.079438,0.861726,0.147223,-0.051636,0.431983,0.101318,-0.079343,0.004129,0.154082,-0.065645,1.040909,0.371850,-0.231746,1.042184,0.436759,-0.284353,0.951784,0.520214,-0.304807,0.972306,0.444398,-0.117659,0.989361,0.515574,-0.071158,0.708360,0.558202,-0.128173,0.499420,0.235839,-0.262731,1.162800,-0.035301,-0.188420,1.155765,-0.139602,-0.209729,0.991692
22,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.112957,-0.083007,0.912698,-0.192052,-0.134930,0.462836,-0.292906,-0.158444,0.039173,0.114146,0.081007,0.861315,0.150301,-0.051395,0.433107,0.103600,-0.077077,0.004039,0.156318,-0.065439,1.036672,0.374329,-0.231802,1.032093,0.437047,-0.282450,0.938531,0.522118,-0.304549,0.960935,0.446177,-0.116693,0.979076,0.516659,-0.075214,0.697326,0.557973,-0.133549,0.489597,0.241403,-0.263303,1.156115,-0.033519,-0.193773,1.154452,-0.134096,-0.208714,0.988539
23,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.111935,-0.083719,0.913447,-0.191102,-0.131348,0.461815,-0.289241,-0.154696,0.038907,0.112895,0.082003,0.861388,0.150878,-0.050606,0.432856,0.105316,-0.077014,0.003282,0.158209,-0.066518,1.032952,0.375697,-0.232638,1.026029,0.437599,-0.280358,0.928616,0.524490,-0.304339,0.950916,0.448453,-0.116455,0.971075,0.518754,-0.079540,0.687908,0.558460,-0.140003,0.481791,0.243621,-0.265386,1.151591,-0.034500,-0.200907,1.153453,-0.137184,-0.198915,0.993247
24,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.111768,-0.083168,0.912949,-0.191490,-0.130808,0.461488,-0.289954,-0.157932,0.038803,0.112083,0.083046,0.861454,0.152144,-0.050051,0.433865,0.106869,-0.075238,0.003557,0.158870,-0.066556,1.031383,0.376441,-0.232397,1.021719,0.435616,-0.278406,0.919424,0.525151,-0.302917,0.938752,0.448205,-0.116438,0.966218,0.519247,-0.081156,0.681448,0.559967,-0.142957,0.475166,0.246922,-0.264243,1.149368,-0.033218,-0.205014,1.155266,-0.138988,-0.203463,0.994844
25,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.111559,-0.082591,0.912769,-0.190656,-0.130437,0.460821,-0.289009,-0.160211,0.038444,0.112411,0.083293,0.861891,0.153784,-0.050635,0.433462,0.108180,-0.073704,0.002918,0.158537,-0.068410,1.028167,0.374487,-0.235237,1.017774,0.433602,-0.279703,0.912534,0.523843,-0.305703,0.929095,0.445995,-0.120444,0.960889,0.516699,-0.084943,0.675178,0.559175,-0.151687,0.471018,0.245569,-0.268370,1.145835,-0.034693,-0.212224,1.155634,-0.131952,-0.199216,0.994584
26,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.112203,-0.082812,0.911857,-0.191235,-0.126273,0.460922,-0.289889,-0.160313,0.038656,0.112596,0.083775,0.861184,0.154117,-0.050556,0.432483,0.107996,-0.072980,0.001984,0.158557,-0.073342,1.023493,0.372061,-0.240701,1.013971,0.430551,-0.281987,0.905448,0.519590,-0.309173,0.917786,0.443442,-0.127799,0.956494,0.514448,-0.091166,0.672203,0.557711,-0.158846,0.466948,0.243738,-0.273529,1.139956,-0.039547,-0.212650,1.154540,-0.132642,-0.194209,0.998983
27,1,Subject_02,Fall,T18,0.000000,0.000000,0.887280,-0.111500,-0.083354,0.912607,-0.192613,-0.126849,0.461984,-0.291671,-0.162758,0.039374,0.112836,0.084678,0.860707,0.154357,-0.050378,0.432237,0.107979,-0.073728,0.001550,0.159836,-0.072197,1.022638,0.372527,-0.239433,1.009342,0.430541,-0.281208,0.899680,0.519545,-0.309101,0.912170,0.444916,-0.128919,0.950979,0.514863,-0.091087,0.666490,0.554902,-0.159966,0.461718,0.244543,-0.271682,1.138835,-0.039254,-0.214944,1.151413,-0.128450,-0.190033,0.996167
