Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.077132,0.106079,0.886951,0.080082,0.018943,0.463421,0.184949,-0.127215,0.070602,-0.079789,-0.092573,0.867562,-0.159556,-0.199066,0.467244,-0.189970,-0.411497,0.098884,0.029788,-0.008646,1.115733,-0.036320,0.007520,1.354489,-0.114216,0.046323,1.415296,-0.117082,0.038079,1.509236,-0.093387,-0.112723,1.342984,-0.096761,-0.158666,1.058548,-0.120189,-0.189367,0.817663,0.048362,0.092907,1.365889,0.077232,0.138430,1.110116,0.036444,0.189993,0.890896
2,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.080423,0.104709,0.884670,0.087343,0.021084,0.461648,0.198195,-0.123487,0.063425,-0.081393,-0.090990,0.867246,-0.139406,-0.198312,0.463496,-0.172828,-0.378222,0.061392,0.024664,-0.014430,1.115085,-0.050693,0.000952,1.354218,-0.128898,0.042587,1.410454,-0.135659,0.039361,1.507800,-0.101559,-0.119509,1.335543,-0.092416,-0.181312,1.057244,-0.106123,-0.213659,0.811336,0.036518,0.089403,1.365147,0.084959,0.140368,1.111808,0.054579,0.194428,0.888339
3,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.080496,0.103668,0.884980,0.089583,0.017081,0.460542,0.206573,-0.131459,0.064124,-0.081747,-0.090654,0.864798,-0.130169,-0.199540,0.459970,-0.164017,-0.380540,0.055429,0.021293,-0.010655,1.112841,-0.068594,0.004956,1.350513,-0.149707,0.044598,1.397198,-0.159305,0.047379,1.494554,-0.114043,-0.116006,1.328272,-0.097040,-0.178086,1.054379,-0.110028,-0.206287,0.814387,0.018626,0.096570,1.363334,0.079012,0.159579,1.110013,0.056527,0.205472,0.881077
4,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.085416,0.099944,0.886783,0.098241,0.039487,0.461906,0.224279,-0.112978,0.055279,-0.088582,-0.085620,0.862716,-0.128058,-0.183654,0.453511,-0.157980,-0.353487,0.047137,0.011444,-0.011110,1.113384,-0.097741,0.004840,1.344801,-0.184106,0.046625,1.373820,-0.203443,0.050357,1.462784,-0.138644,-0.116872,1.321737,-0.103522,-0.165343,1.043094,-0.088313,-0.188240,0.794394,-0.012772,0.095744,1.359581,0.042339,0.184707,1.103726,0.014313,0.249643,0.871444
5,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.091764,0.094409,0.888286,0.095098,0.064321,0.463629,0.233538,-0.090202,0.054860,-0.094173,-0.080747,0.858867,-0.128770,-0.172478,0.448833,-0.162415,-0.343629,0.039229,0.000167,-0.005751,1.115034,-0.134267,0.011775,1.334405,-0.220297,0.047001,1.345418,-0.251249,0.058205,1.425652,-0.170395,-0.111670,1.307273,-0.118482,-0.162638,1.033162,-0.083354,-0.181226,0.779935,-0.043182,0.108583,1.351653,0.003354,0.200488,1.101986,-0.048066,0.293640,0.865255
6,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.093537,0.091358,0.890198,0.079244,0.062687,0.462591,0.227932,-0.090672,0.058454,-0.095791,-0.076993,0.854461,-0.137362,-0.174022,0.448220,-0.169583,-0.339257,0.036608,-0.008787,0.001940,1.116231,-0.171767,0.025314,1.321537,-0.261947,0.048824,1.324506,-0.307147,0.048052,1.400258,-0.199995,-0.092565,1.285932,-0.188936,-0.116944,1.003303,-0.206672,-0.073800,0.739497,-0.072089,0.114385,1.344323,-0.009154,0.203241,1.100003,-0.075799,0.282129,0.867562
7,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.091059,0.092042,0.891565,0.081929,0.091528,0.468329,0.230977,-0.057472,0.067504,-0.094803,-0.074299,0.853112,-0.136659,-0.141122,0.442591,-0.167250,-0.300385,0.026001,-0.024220,-0.012311,1.113187,-0.207588,0.006476,1.308005,-0.301191,0.026506,1.302228,-0.353181,0.019476,1.374928,-0.225873,-0.100473,1.260268,-0.251192,-0.098255,0.980907,-0.324564,-0.032224,0.736125,-0.097572,0.087995,1.341197,0.027336,0.188761,1.123499,-0.024234,0.270143,0.915579
8,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.094613,0.086956,0.893463,0.087517,0.087396,0.468942,0.216209,-0.082946,0.076933,-0.096811,-0.067684,0.851608,-0.132080,-0.108784,0.442997,-0.151543,-0.293982,0.032008,-0.035152,-0.011312,1.111845,-0.238189,0.003175,1.294122,-0.330265,0.020898,1.280346,-0.391345,0.010352,1.347442,-0.251045,-0.099652,1.239303,-0.286904,-0.089583,0.961751,-0.363766,-0.007273,0.729122,-0.118918,0.073758,1.335050,0.040500,0.180363,1.143346,-0.006895,0.236644,0.945338
9,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.098620,0.080340,0.894969,0.083784,0.053936,0.465811,0.185255,-0.108761,0.067687,-0.101344,-0.062039,0.848601,-0.128560,-0.107169,0.437764,-0.126756,-0.281052,0.026356,-0.043838,-0.011508,1.108576,-0.256307,0.002830,1.277814,-0.348041,0.014776,1.260627,-0.415755,0.006280,1.323126,-0.267111,-0.097832,1.212248,-0.302253,-0.085866,0.936628,-0.369080,0.024121,0.704699,-0.136634,0.065787,1.327748,0.041010,0.170685,1.150646,-0.018238,0.216484,0.954435
10,1,Subject_02,Fall,T12,0.000000,0.000000,0.874830,0.102103,0.077587,0.897520,0.088394,0.045987,0.467616,0.166598,-0.110943,0.060331,-0.106043,-0.059616,0.846484,-0.115332,-0.075041,0.431337,-0.109301,-0.200525,0.009645,-0.055390,-0.017589,1.102354,-0.277280,-0.012053,1.258455,-0.366373,-0.003276,1.241754,-0.441511,-0.012532,1.302271,-0.284219,-0.113159,1.178757,-0.309245,-0.104623,0.910425,-0.393875,-0.001848,0.680383,-0.152323,0.055402,1.321881,0.033339,0.159608,1.153201,-0.037266,0.202760,0.955990
