Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.070853,-0.102114,0.840266,-0.099611,-0.228142,0.438754,-0.160906,-0.328464,0.019533,0.072890,0.101035,0.844101,-0.043220,0.040793,0.428417,-0.162747,0.050986,0.002724,-0.022112,0.027811,1.091655,-0.015764,0.026816,1.382260,0.069508,0.007958,1.393085,0.067727,0.033528,1.390925,0.002737,0.138285,1.396321,0.032634,0.217606,1.103793,0.177345,0.051845,1.124266,-0.046540,-0.064008,1.413792,-0.032784,-0.215661,1.137526,0.130615,-0.154042,1.212702
2,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.070197,-0.106544,0.837028,-0.091985,-0.203428,0.427630,-0.149398,-0.298003,0.021138,0.072198,0.104615,0.842113,-0.032271,0.058285,0.429036,-0.158269,0.053620,0.005977,-0.023035,0.024091,1.092932,-0.015482,0.026197,1.379866,0.065866,0.010266,1.395884,0.057470,0.044771,1.392152,-0.005012,0.137989,1.395194,0.028509,0.215552,1.105689,0.180785,0.053536,1.127032,-0.038261,-0.073479,1.411612,-0.037999,-0.220179,1.141537,0.129829,-0.154929,1.216781
3,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.064695,-0.108778,0.834354,-0.094238,-0.179066,0.425027,-0.137070,-0.264185,0.027861,0.071145,0.105422,0.841005,-0.030061,0.049662,0.430529,-0.174407,0.017601,0.035556,-0.020080,0.019792,1.090611,-0.010467,0.022329,1.372164,0.069332,0.009615,1.392409,0.092515,0.029875,1.393357,-0.010587,0.137205,1.393537,0.021732,0.215790,1.107799,0.181475,0.051146,1.130627,-0.022852,-0.084977,1.404737,-0.039393,-0.227027,1.143887,0.127910,-0.162961,1.221032
4,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.067413,-0.105837,0.834777,-0.102237,-0.172335,0.421901,-0.135193,-0.265178,0.017617,0.073421,0.103572,0.841730,-0.039586,0.013260,0.430188,-0.202250,-0.018952,0.033678,-0.019278,0.020053,1.088747,-0.010638,0.019468,1.369337,0.074115,0.026945,1.388770,0.125585,0.025576,1.397421,-0.013662,0.138166,1.391698,0.019241,0.213626,1.106695,0.180954,0.050423,1.132052,-0.017377,-0.086283,1.404101,-0.043239,-0.226649,1.146302,0.127344,-0.161742,1.219034
5,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.074036,-0.100268,0.834231,-0.098520,-0.157441,0.418093,-0.136194,-0.260669,0.012001,0.079741,0.098975,0.843738,-0.031459,-0.005810,0.433578,-0.188421,-0.004547,0.036144,-0.021643,0.021568,1.090991,-0.005364,0.015587,1.370112,0.082878,0.008051,1.390457,0.131656,0.017333,1.391991,-0.011103,0.138147,1.393095,0.017926,0.211242,1.106185,0.180904,0.047993,1.131418,-0.015907,-0.088243,1.405778,-0.043577,-0.231511,1.145703,0.129507,-0.162730,1.217247
6,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.081037,-0.095405,0.834737,-0.095346,-0.143361,0.418289,-0.134034,-0.246000,0.006328,0.086310,0.095339,0.844517,-0.017402,-0.013407,0.435169,-0.166070,0.034793,0.037954,-0.022100,0.023330,1.095161,-0.004245,0.016529,1.375219,0.083132,0.001162,1.393011,0.101891,0.014011,1.390509,-0.009822,0.138543,1.395158,0.018018,0.210001,1.106641,0.182463,0.048082,1.130754,-0.020799,-0.084589,1.410462,-0.044682,-0.232610,1.148082,0.125229,-0.167363,1.216310
7,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.084453,-0.094701,0.837294,-0.098623,-0.143144,0.422464,-0.123060,-0.215331,0.015259,0.090249,0.093316,0.843312,0.005472,-0.011089,0.434234,-0.144200,0.080713,0.045773,-0.021199,0.025144,1.095575,-0.004402,0.015760,1.375311,0.089711,0.009130,1.394836,0.109917,0.022007,1.396194,-0.007666,0.136355,1.394236,0.023295,0.211380,1.105390,0.181262,0.047243,1.130634,-0.020473,-0.082280,1.414533,-0.041421,-0.231927,1.150214,0.124113,-0.170591,1.217168
8,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.090815,-0.088875,0.838434,-0.102235,-0.143105,0.432813,-0.108346,-0.183573,0.027160,0.095478,0.087293,0.841547,0.035830,-0.018992,0.432287,-0.132129,0.102132,0.047906,-0.018950,0.024301,1.097147,-0.000710,0.013291,1.376016,0.096373,0.010740,1.393202,0.120835,0.021254,1.395986,-0.004185,0.135358,1.394551,0.025453,0.212212,1.104715,0.180709,0.046234,1.128330,-0.020436,-0.082733,1.414669,-0.034570,-0.234821,1.147615,0.129074,-0.170870,1.214260
9,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.098198,-0.083824,0.838874,-0.107937,-0.159994,0.436278,-0.106844,-0.186227,0.020898,0.100214,0.084511,0.839964,0.080181,-0.024962,0.431861,-0.105956,0.118059,0.048711,-0.019660,0.024749,1.100992,0.009005,0.007272,1.375069,0.106313,-0.005877,1.390844,0.099259,0.025404,1.394128,0.006220,0.133286,1.392919,0.032261,0.209563,1.101000,0.187814,0.037966,1.122006,-0.020711,-0.087631,1.413554,-0.025533,-0.236975,1.144058,0.136918,-0.173779,1.209343
10,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.100315,-0.085678,0.838547,-0.103543,-0.154946,0.434105,-0.104650,-0.181786,0.020471,0.100988,0.084206,0.838356,0.122997,-0.028060,0.434547,-0.086398,0.127594,0.053239,-0.018851,0.024231,1.101429,0.013362,0.007505,1.371881,0.106467,0.008965,1.391576,0.054083,0.037707,1.399102,0.010607,0.133012,1.390227,0.036261,0.209851,1.096845,0.191992,0.035112,1.113236,-0.014474,-0.095382,1.413251,-0.020863,-0.242072,1.140541,0.142773,-0.171075,1.210178
11,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.100072,-0.084957,0.839619,-0.105384,-0.150976,0.432689,-0.119510,-0.181035,0.019461,0.100608,0.085486,0.837798,0.147279,-0.018809,0.438940,-0.070872,0.137585,0.060870,-0.015581,0.019444,1.098423,0.003353,0.006972,1.375488,0.078059,0.032093,1.397935,0.019485,0.063218,1.405891,0.005312,0.133015,1.389707,0.035925,0.210475,1.097503,0.189505,0.034874,1.113288,-0.011193,-0.098786,1.417015,-0.023002,-0.242276,1.143607,0.143247,-0.172774,1.210513
12,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.102366,-0.083050,0.841546,-0.101875,-0.142935,0.431047,-0.116369,-0.165120,0.019127,0.102292,0.083840,0.837384,0.163950,-0.028139,0.440408,-0.048139,0.125518,0.064032,-0.014537,0.018807,1.096730,0.005243,0.004835,1.376058,0.072361,0.026384,1.402501,0.034485,0.062491,1.411155,0.004268,0.131891,1.390032,0.037864,0.209795,1.096460,0.191159,0.038284,1.114145,-0.004196,-0.101807,1.414392,-0.019136,-0.243607,1.142702,0.146899,-0.170323,1.209731
13,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.106915,-0.078790,0.840160,-0.096464,-0.136291,0.424783,-0.111169,-0.151809,0.019278,0.105771,0.079696,0.837354,0.169632,-0.059672,0.441327,-0.019448,0.103533,0.065137,-0.015443,0.018959,1.096624,0.004775,0.003406,1.379595,0.074024,0.024758,1.409937,0.044938,0.057065,1.419132,0.002119,0.131253,1.390660,0.038943,0.210977,1.098350,0.191734,0.038485,1.115443,-0.001127,-0.100404,1.414600,-0.017847,-0.244029,1.141899,0.149705,-0.169330,1.214259
14,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.109699,-0.073628,0.839811,-0.094410,-0.129932,0.421245,-0.107803,-0.137960,0.017955,0.109691,0.075441,0.837323,0.159961,-0.096072,0.447210,0.014757,0.073402,0.061793,-0.015869,0.016564,1.099228,0.001215,-0.002324,1.382044,0.070573,0.030209,1.407775,0.082123,0.041831,1.418022,0.001462,0.125469,1.389670,0.037922,0.208026,1.099062,0.189602,0.036596,1.115963,-0.000883,-0.103894,1.417414,-0.018756,-0.245582,1.141634,0.149701,-0.173347,1.212630
15,1,Subject_02,Fall,T19,0.000000,0.000000,0.840506,-0.110280,-0.070100,0.839685,-0.095570,-0.121760,0.422431,-0.105224,-0.123327,0.022480,0.111709,0.071593,0.838317,0.142984,-0.125773,0.451090,0.018598,0.018629,0.060366,-0.014261,0.016326,1.100145,0.000089,-0.004317,1.384351,0.072393,0.030229,1.409041,0.103531,0.032380,1.417480,-0.000470,0.121480,1.392092,0.034999,0.206555,1.102477,0.186525,0.038977,1.117262,-0.000852,-0.101966,1.418662,-0.022202,-0.240931,1.142683,0.143445,-0.181104,1.211365
