Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.118759,0.062610,0.849789,0.051171,0.009853,0.425456,0.000770,-0.035525,0.000785,-0.124909,-0.057918,0.847122,-0.064411,-0.147635,0.418592,-0.032586,-0.295251,0.000000,0.039186,-0.012508,1.093571,-0.001112,0.020312,1.340979,-0.063231,0.089927,1.434707,-0.076185,0.058015,1.537688,-0.121589,-0.068047,1.340334,-0.285961,-0.061677,1.170957,-0.237686,0.061163,1.379677,0.150764,0.074954,1.316200,0.252044,0.080956,1.054077,0.259100,0.193526,0.856058
2,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.120403,0.059585,0.850421,0.053889,0.000372,0.425719,0.005866,-0.043340,0.000972,-0.125765,-0.054173,0.847593,-0.064655,-0.153184,0.419043,-0.027882,-0.307934,0.006414,0.040607,-0.013332,1.092341,0.001334,0.016586,1.340836,-0.059879,0.086866,1.436575,-0.072275,0.056960,1.538194,-0.121164,-0.067321,1.339944,-0.279184,-0.139951,1.138743,-0.233448,0.076611,1.244144,0.152737,0.068617,1.316748,0.248328,0.070985,1.052771,0.250914,0.187299,0.854888
3,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.120964,0.055862,0.850082,0.059553,-0.003636,0.426895,0.011495,-0.045536,0.004911,-0.125277,-0.055055,0.848042,-0.064518,-0.157599,0.420752,-0.024007,-0.312233,0.012181,0.043561,-0.013804,1.091845,0.004943,0.014184,1.341794,-0.054075,0.085670,1.438471,-0.068751,0.056511,1.540700,-0.113444,-0.078117,1.323340,-0.193160,-0.186120,1.059908,-0.181168,-0.023357,0.977265,0.154243,0.065477,1.317701,0.249022,0.063061,1.054083,0.248139,0.180220,0.842802
4,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.120470,0.060927,0.849776,0.064088,-0.002960,0.427451,0.015944,-0.040386,0.005979,-0.125108,-0.056966,0.847696,-0.067215,-0.158994,0.420092,-0.021474,-0.316815,0.013235,0.046135,-0.013345,1.091354,0.007743,0.013048,1.341299,-0.051879,0.085225,1.437973,-0.065025,0.056666,1.540714,-0.108821,-0.079507,1.314103,-0.177003,-0.157294,1.041748,-0.180834,-0.006507,0.878681,0.155829,0.067306,1.315819,0.250429,0.060967,1.052519,0.246474,0.175387,0.839656
5,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.119598,0.059400,0.849087,0.064943,-0.012708,0.428599,0.018177,-0.050434,0.008696,-0.125217,-0.056306,0.847965,-0.069450,-0.161657,0.421232,-0.022091,-0.323927,0.017270,0.048517,-0.012673,1.090885,0.012814,0.013197,1.339961,-0.045995,0.085655,1.437605,-0.058886,0.058291,1.540380,-0.104006,-0.081430,1.320098,-0.160464,-0.187863,1.054369,-0.195145,-0.112231,0.856340,0.159491,0.068477,1.317849,0.250449,0.061757,1.053430,0.242285,0.170240,0.842970
6,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.118964,0.060724,0.847860,0.067795,-0.016511,0.428657,0.022827,-0.060986,0.009043,-0.124560,-0.058455,0.847724,-0.071736,-0.167719,0.421604,-0.023721,-0.330404,0.018374,0.049775,-0.011387,1.091020,0.015726,0.015803,1.339961,-0.042675,0.087723,1.438793,-0.055192,0.062747,1.541807,-0.101437,-0.080778,1.327936,-0.158624,-0.201035,1.066997,-0.217257,-0.141353,0.849945,0.162103,0.072827,1.318712,0.250915,0.071792,1.054328,0.237396,0.172055,0.845671
7,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.120050,0.062404,0.845985,0.071095,-0.020006,0.428967,0.024640,-0.063602,0.012836,-0.123748,-0.060395,0.848541,-0.079429,-0.174255,0.422757,-0.031615,-0.348474,0.022837,0.049890,-0.009309,1.091050,0.018238,0.018159,1.339692,-0.039252,0.086856,1.439262,-0.051753,0.061919,1.542401,-0.099045,-0.076843,1.331844,-0.162457,-0.193373,1.071383,-0.215885,-0.100937,0.882782,0.163718,0.074732,1.320467,0.249639,0.079306,1.054011,0.229172,0.180927,0.849960
8,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.119072,0.061734,0.844606,0.073028,-0.026723,0.429809,0.024238,-0.082712,0.014019,-0.123734,-0.059268,0.849911,-0.082810,-0.178726,0.422327,-0.036005,-0.353756,0.029004,0.049976,-0.008125,1.090745,0.021274,0.018923,1.339026,-0.037928,0.085141,1.441969,-0.050277,0.059148,1.543688,-0.093310,-0.075363,1.338214,-0.162452,-0.175713,1.075694,-0.211730,-0.043988,0.899969,0.165352,0.074734,1.323650,0.246852,0.088528,1.056152,0.220868,0.197413,0.853940
9,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.119163,0.061424,0.843464,0.076408,-0.025910,0.431829,0.028083,-0.095287,0.015861,-0.123345,-0.059252,0.851266,-0.093009,-0.185553,0.425382,-0.056151,-0.366912,0.039108,0.052001,-0.007676,1.091103,0.025182,0.017961,1.339873,-0.034751,0.082628,1.444592,-0.048265,0.056506,1.546145,-0.088711,-0.073873,1.341121,-0.161583,-0.166760,1.080628,-0.213004,-0.020793,0.914405,0.168748,0.074826,1.324545,0.246174,0.095786,1.056655,0.209310,0.206928,0.854581
10,1,Subject_02,Fall,T22,0.000000,0.000000,0.845025,0.120173,0.063343,0.842546,0.081964,-0.022750,0.432476,0.030779,-0.092131,0.017372,-0.122984,-0.060115,0.852095,-0.107744,-0.192115,0.428747,-0.066354,-0.370539,0.051515,0.055133,-0.008966,1.091853,0.030934,0.014801,1.340197,-0.030079,0.077372,1.445330,-0.043063,0.051401,1.547822,-0.083046,-0.077415,1.344158,-0.160612,-0.166305,1.083238,-0.211110,-0.010169,0.928948,0.173444,0.072705,1.322970,0.243742,0.104125,1.055945,0.201283,0.216534,0.852121
