Frame_ID,Person_ID,Subject,Activity,Trial,Hip_X,Hip_Y,Hip_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,Spine_X,Spine_Y,Spine_Z,Thorax_X,Thorax_Y,Thorax_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,RElbow_X,RElbow_Y,RElbow_Z,RWrist_X,RWrist_Y,RWrist_Z
1,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.066304,-0.120213,0.829032,0.168387,0.008656,0.507376,0.031130,-0.067311,0.153250,-0.062288,0.111170,0.809994,-0.047573,0.100143,0.417856,-0.174363,-0.148184,0.095407,-0.041346,0.019004,1.067901,0.004593,-0.035109,1.314668,0.108769,-0.067209,1.377098,0.097755,-0.105835,1.480083,-0.027927,0.102476,1.325969,-0.016107,0.208427,1.076134,0.107671,0.243183,0.888287,-0.015552,-0.166332,1.277602,-0.070016,-0.245502,1.013972,-0.127176,-0.326757,0.840901
2,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.070116,-0.116751,0.828047,0.156695,-0.014616,0.487360,0.056026,-0.103624,0.127874,-0.064385,0.108002,0.810629,-0.071531,0.069008,0.415587,-0.224108,-0.220898,0.125597,-0.041728,0.018689,1.070210,0.000810,-0.043301,1.318582,0.105896,-0.080530,1.382367,0.095834,-0.122079,1.485696,-0.031312,0.098556,1.328826,-0.012703,0.211948,1.076179,0.110591,0.233855,0.882482,-0.019126,-0.168629,1.286455,-0.065612,-0.257119,1.033935,-0.103724,-0.328054,0.816193
3,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.076272,-0.112528,0.825150,0.160733,-0.016458,0.472442,0.094231,-0.109081,0.128840,-0.068632,0.106129,0.810399,-0.073531,0.071366,0.413086,-0.264940,-0.259716,0.187093,-0.040909,0.015041,1.071436,-0.002230,-0.053579,1.319393,0.102780,-0.091174,1.386671,0.096415,-0.128098,1.490832,-0.034018,0.096745,1.330414,-0.007817,0.222942,1.073180,0.110208,0.239748,0.871448,-0.016348,-0.183132,1.303084,-0.074452,-0.333727,1.122456,-0.077424,-0.384815,0.920943
4,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.077983,-0.109297,0.823895,0.155398,-0.030548,0.462942,0.141032,-0.092669,0.128965,-0.069908,0.104356,0.810803,-0.070870,0.084205,0.416105,-0.258948,-0.264748,0.255461,-0.038580,0.012443,1.072080,0.002111,-0.050716,1.316934,0.108519,-0.081567,1.387018,0.100837,-0.120167,1.484147,-0.031555,0.099313,1.331244,-0.003372,0.233265,1.072281,0.118407,0.249596,0.869320,-0.010785,-0.183283,1.299155,-0.015225,-0.340708,1.161918,-0.104886,-0.270189,0.880747
5,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.080307,-0.104457,0.821174,0.131274,-0.070734,0.434353,0.118569,-0.164844,0.093647,-0.067335,0.103157,0.814162,-0.058813,0.123244,0.420245,-0.232471,-0.182949,0.206823,-0.038966,0.011671,1.072620,0.005128,-0.047499,1.312275,0.108361,-0.081695,1.382173,0.106505,-0.113436,1.478471,-0.032359,0.099791,1.327425,-0.006318,0.239123,1.071145,0.112278,0.259562,0.867960,-0.004216,-0.178125,1.308428,0.128413,-0.291414,1.337963,0.223614,-0.301026,1.303423
6,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.082786,-0.101641,0.820663,0.120283,-0.079357,0.433695,0.108865,-0.181312,0.075871,-0.070009,0.101907,0.814320,-0.065425,0.123169,0.424839,-0.205410,-0.089050,0.091315,-0.034159,0.012950,1.068974,0.012164,-0.046165,1.306218,0.112654,-0.078168,1.371214,0.109529,-0.109688,1.467367,-0.034328,0.091964,1.322540,-0.013993,0.221121,1.068626,0.087914,0.256320,0.866509,0.002565,-0.181248,1.291631,0.107633,-0.341629,1.418455,0.325570,-0.308187,1.452767
7,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.079596,-0.103643,0.819199,0.102574,-0.089426,0.423729,0.103907,-0.143187,0.069813,-0.070000,0.099901,0.814362,-0.085500,0.090499,0.418123,-0.207691,-0.087791,0.057607,-0.039640,0.009877,1.070589,0.006804,-0.048450,1.308645,0.109572,-0.078344,1.375529,0.103781,-0.108237,1.470108,-0.044997,0.082513,1.324427,-0.029538,0.209792,1.069090,0.070742,0.248679,0.861096,0.006839,-0.179055,1.293452,0.121061,-0.338323,1.402929,0.318472,-0.205499,1.406983
8,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.076106,-0.106385,0.819816,0.087036,-0.107237,0.412929,0.083321,-0.146321,0.053993,-0.065778,0.103326,0.815208,-0.101151,0.068949,0.411432,-0.214644,-0.094339,0.045142,-0.043316,0.005252,1.069034,0.003206,-0.057161,1.305898,0.106278,-0.084045,1.371179,0.099483,-0.111760,1.465820,-0.054848,0.073987,1.324087,-0.042258,0.200182,1.068137,0.057556,0.246041,0.860482,0.003981,-0.186491,1.286458,0.113588,-0.338638,1.372777,0.267526,-0.217008,1.387248
9,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.072614,-0.110911,0.818538,0.081913,-0.104904,0.404433,0.071098,-0.142266,0.051940,-0.059914,0.108588,0.818124,-0.111767,0.047864,0.406513,-0.226211,-0.100389,0.037909,-0.044396,0.002950,1.066599,0.002856,-0.065238,1.304890,0.106829,-0.085544,1.367632,0.101059,-0.108297,1.461141,-0.053516,0.074453,1.319657,-0.047673,0.196781,1.065545,0.046865,0.245569,0.853668,0.004299,-0.198978,1.280351,0.088398,-0.384921,1.364110,0.266008,-0.288353,1.403999
10,1,Subject_02,Fall,T01,0.000000,0.000000,0.818919,0.066023,-0.117938,0.818758,0.067694,-0.121008,0.393104,0.044673,-0.169137,0.023474,-0.056109,0.111400,0.818659,-0.125748,0.031019,0.399180,-0.258307,-0.119547,0.028250,-0.042179,-0.001481,1.068928,0.007871,-0.061618,1.304863,0.112937,-0.073401,1.371382,0.100909,-0.102371,1.466121,-0.054718,0.083159,1.323149,-0.048774,0.210144,1.072860,0.045586,0.250921,0.854300,0.010184,-0.202744,1.283190,0.045635,-0.367472,1.254997,0.040359,-0.499606,1.175474
